Title,Description,Manifest,Year,Place
"La società resiste contro lo stato","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0003/manifest.json","1977","Milano"
"Cos`è una guerra civile?","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0004/manifest.json","1977","Milano"
"Questa prima non s`ha da fare!!","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0002/manifest.json","1976","Milano"
"Periodico contro padroni e stato a cura del collettivo politico Apache-Rho","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0001/manifest.json","1976","Milano"
"Skema","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0009/manifest.json","1977","Bologna"
"Che in cinese non si traduce: Guang ribao","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0007/manifest.json",,"Milano"
"La resistenza si sta organizzando su tutte le fronti pure","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0006/manifest.json","1977","Milano"
"Raduno sull`arte d`arrangiarsi","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0005/manifest.json","1978","Milano"
"Zut & A/traverso","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0012/manifest.json",,"Roma"
"Nevermore work","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0011/manifest.json","1976","Roma"
"Foglio di agit/azione dadaista","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0010/manifest.json","1976","Roma"
"Ready for war","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0015/manifest.json",,"[n.d.]"
"Zut international","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0014/manifest.json","1978","Milano"
"Nella rivoluzione","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0013/manifest.json","1977","Roma"
"Vigilantes","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0016/manifest.json","1978","Firenze"
"Non si uccide la voce proletaria","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0019/manifest.json","1976","[n.d.]"
,"Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0021/manifest.json","1977","Bologna"
"Inchiesta di massa sul lavoro nero, precario, saltuario","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0020/manifest.json","1977","[n.d.]"
"Dalle cantine frocie","Item supplied by Bibliotheca Hertziana – Max Planck Institute for Art History","http://dlib.biblhertz.it/ia/iiif/PE-0017/manifest.json",,"Milano"
